ProcessName,Description,AppType,Modules,Allocation,Status,Target Date
pamPaydayVoidPayment,Pam Void payment,PAM,Pam_Payoff_PR,Akhila,Complete,
payDayBuyBack,CSR BuyBack Payment,QFund,PayDay_PartialPayment_PR,Akhila,Complete,
pamRescindPayDayLoan,CSR Rescind Loan,QFund,PayDayLoan_Void_PR,,Complete,
pamvoidPayDayLoan,Pam Loan Void,QFund,PayDayLoan_Void_PR,,Complete,
cashAtStore,cash At Store,QFund,PayDay_PartialPayment_PR,,Complete,
pamPaydaypartialPayment,Pam Partial payment,PAM,Pam_Payoff_PR,,Complete,
pamlocLoanDrawer,CSR and PAM Loan Drawer,QFund,LoanTransaction_NewLoan_LOC_PR,,Complete,
loc_ACH_Revoke_Authorize,ACH Revoke Authorisation for LOC in CSR and PAM,QFund,LoanACHRevokeAuthorize_PR,,Complete,
loc_RCC_Revoke_Authorize,RCC Revoke Authorisation for LOC in CSR and PAM,QFund,LoanACHRevokeAuthorize_PR,,Complete,
pamEppInitiate,Initiate Epp in PAM,PAM,Pam_Payoff_PR,,Complete,
pamlocVoidDraw,Void  the Draw Amount in CSR and PAM,PAM,Pam_Payoff_PR,,Complete,
locVoidPayOff,Void  the Payoff Amount in CSR and PAM,QFund,LoanTransaction_NewLoan_LOC_VoidPayments_PR,,Complete,
pamlocDrawNow,Draw the Amount In the Loan Origination,PAM,Pam_Payoff_PR,,Complete,
pamrPPPayment,RppPayment for all the Tender Types,PAM,Pam_Payoff_PR,,Complete,
Online EOD,,,,,,
pamStartScheduler,Perform Online EOD process,PAM,Pam_StartScheduler_PR,Sameer,Complete,
adminLOCPreACHDepositInserts,Perform deposit inserts as a part of Online EOD process,QFund,AdminTransaction_ACH_LOC_PR,Sameer,Complete,
admnRCCPaymentBeforeDEFOrigFile,Perform RCC Payments as a part of Online EOD process,QFund,AdminTransaction_ACH_RCCPayments_PR,Sameer,Complete,
admnRCCPaymentAfterDEFOrigFile,Perform RCC Payments as a part of Online EOD process,QFund,AdminTransaction_ACH_RCCPayments_PR,Sameer,Complete,
adminLOCPreACHDeposit,Online EOD Process,QFund,AdminTransaction_ACH_LOC_PR,Sameer,In Progress,
adminProcessLOCPreRCCDeposit,Online EOD Process,QFund,AdminTransaction_ACH_RCCPayments_PR,Sameer,In Progress,
adminPDLPreNoteDepositProcess,Online EOD Process,QFund,AdminTransaction_QAJobs_PR,Sameer,In Progress,
adminACHLOCACHClear,Online EOD Process,QFund,AdminTransaction_ACH_LOC_PR,Sameer,In Progress,
Misc_Transactions,,,,,,
MiscReceipts,Miscellaneous_Other_Receipts,QFund,Misc_Transaction_PR,Ibbu,Complete,
MiscDisbursement,MiscDisbursement,QFund,Misc_Transaction_PR,Ibbu,Complete,
Reports,,,,,,
rep_CollectionReports,CollectionReports,QFund,Reports_CollectionReports_PR,Srikanth,WIP,
rep_CustomerReports,CustomerReports,QFund,Reports_Customer_PR,Srikanth,WIP,
rep_DailySummaryReports,DailySummaryReports,QFund,Reports_DailySummaryReports_PR,Srikanth,WIP,
rep_LoanReports,LoanReports,QFund,Reports_LoanReports_PR,Srikanth,WIP,
rep_OtherReports,OtherReports,QFund,Reports_OtherReports_PR,Srikanth,WIP,
